country_name,country_code,indicator_name,indicator_code,value,year
Bhutan,BTN,"Teachers in primary education, both sexes (number)",SE.PRM.TCHR,2541.0,2016
Brunei Darussalam,BRN,"Population of the official age for lower secondary education, male (number)",SP.SEC.LTOT.MA.IN,6849.0,2016
Brunei Darussalam,BRN,"Population of the official age for secondary education, female (number)",SP.SEC.TOTL.FE.IN,23503.0,2016
Brunei Darussalam,BRN,"Population, ages 15-64, male",SP.POP.1564.MA.IN,158476.0,2016
Russian Federation,RUS,PIRLS: Distribution of Reading Scores: 50th Percentile Score,LO.PIRLS.REA.P50,584.0,2016
Samoa,WSM,"Population, female",SP.POP.TOTL.FE.IN,94456.0,2016
San Marino,SMR,GDP at market prices (current US$),NY.GDP.MKTP.CD,1590707964.60177,2016
Sao Tome and Principe,STP,"Gross enrolment ratio, secondary, male (%)",SE.SEC.ENRR.MA,80.8043594360352,2016
Sao Tome and Principe,STP,"Population of the official age for secondary education, female (number)",SP.SEC.TOTL.FE.IN,13377.0,2016
Solomon Islands,SLB,"Population of the official age for the last grade of primary education, both sexes (number)",SP.PRM.GRAD.TO,14756.0,2016
South Africa,ZAF,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3.0,2016
Oman,OMN,PIRLS: Distribution of Reading Scores: 10th Percentile Score,LO.PIRLS.REA.P10,275.0,2016
Oman,OMN,PIRLS: Distribution of Reading Scores: 50th Percentile Score,LO.PIRLS.REA.P50,426.0,2016
Palau,PLW,Official entrance age to upper secondary education (years),UIS.THAGE.3.A.GPV,14.0,2016
Papua New Guinea,PNG,"Population, ages 15-64, female",SP.POP.1564.FE.IN,2382461.0,2016
Cabo Verde,CPV,Theoretical duration of secondary education (years),SE.SEC.DURS,6.0,2016
Canada,CAN,"Population of the official age for post-secondary non-tertiary education, male (number)",UIS.SAP.4.M,459725.0,2016
Chad,TCD,"Literacy rate, population 25-64 years, female (%)",UIS.LR.AG25T64.F,9.54922,2016
Sub-Saharan Africa,SSF,"Population, ages 0-14, female",SP.POP.0014.FE.IN,218931859.0,2016
Sub-Saharan Africa,SSF,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,49.8689810761256,2016
Upper middle income,UMC,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,40745897772267.9,2016
Andorra,AND,"Elderly illiterate population, 65+ years, male (number)",UIS.LP.AG65.M,0.0,2016
Armenia,ARM,"Population of the official age for post-secondary non-tertiary education, female (number)",UIS.SAP.4.F,35967.0,2016
Aruba,ABW,"Population of the official age for primary education, both sexes (number)",SP.PRM.TOTL.IN,8203.0,2016
Puerto Rico,PRI,"Population of the official age for pre-primary education, male (number)",SP.PRE.TOTL.MA.IN,45859.0,2016
"Congo, Dem. Rep.",COD,"Population of the official age for lower secondary education, female (number)",SP.SEC.LTOT.FE.IN,1939353.0,2016
St. Vincent and the Grenadines,VCT,"Population, ages 0-14, male",SP.POP.0014.MA.IN,13368.0,2016
Suriname,SUR,"Population of the official age for lower secondary education, both sexes (number)",SP.SEC.LTOT.IN,38899.0,2016
Euro area,EMU,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,42163.6201144065,2016
Europe & Central Asia (excluding high income),ECA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,18836.3853898713,2016
Europe & Central Asia (excluding high income),ECA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,18362.5058003318,2016
Latin America & Caribbean,LCN,"Labor force, total",SL.TLF.TOTL.IN,305323288.0,2016
Middle income,MIC,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,63221028090997.6,2016
Middle income,MIC,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,66.6918507325134,2016
Middle income,MIC,"Unemployment, male (% of male labor force)",SL.UEM.TOTL.MA.ZS,5.33859253091781,2016
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,34900.0,2016
Tuvalu,TUV,"Population of the official age for the last grade of primary education, both sexes (number)",SP.PRM.GRAD.TO,230.0,2016
Uzbekistan,UZB,"Percentage of graduates from tertiary education graduating from Humanities and Arts programmes, both sexes (%)",SE.TER.GRAD.HU.ZS,11.78005027771,2016
Uzbekistan,UZB,"Teachers in secondary education, both sexes (number)",SE.SEC.TCHR,374585.0,2016
Lebanon,LBN,Duration of compulsory education (years),SE.COM.DURS,9.0,2016
Lebanon,LBN,"Population of the official entrance age to secondary general education, male (number)",UIS.SAP.23.GPV.G1.M,49866.0,2016
Gabon,GAB,Official entrance age to post-secondary non-tertiary education (years),UIS.THAGE.4.A.GPV,18.0,2016
Marshall Islands,MHL,"Population of the official entrance age to primary education, both sexes (number)",UIS.SAP.1.G1,1493.0,2016
Mauritania,MRT,"Gross enrolment ratio, tertiary, female (%)",SE.TER.ENRR.FE,3.57801008224487,2016
Mauritania,MRT,"Population of the official age for tertiary education, male (number)",SP.TER.TOTL.MA.IN,192893.0,2016
Mauritania,MRT,"Population of the official age for the last grade of primary education, female (number)",SP.PRM.GRAD.FE,48871.0,2016
"Micronesia, Fed. Sts.",FSM,"Population of the official age for upper secondary education, male (number)",SP.SEC.UTOT.MA.IN,5346.0,2016
"Micronesia, Fed. Sts.",FSM,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,51.2359914614622,2016
Eritrea,ERI,Duration of compulsory education (years),SE.COM.DURS,8.0,2016
Faroe Islands,FRO,Duration of compulsory education (years),SE.COM.DURS,9.0,2016
Vietnam,VNM,"Population, ages 15-64, male",SP.POP.1564.MA.IN,32288054.0,2016
Zimbabwe,ZWE,Official entrance age to upper secondary education (years),UIS.THAGE.3.A.GPV,15.0,2016
Zimbabwe,ZWE,"Population of the official age for secondary education, both sexes (number)",SP.SEC.TOTL.IN,2069539.0,2016
Thailand,THA,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,45.6564429008883,2016
Thailand,THA,UIS: Percentage of population age 25+ with at least completed upper secondary education (ISCED 3 or higher). Female,UIS.EA.3T6.AG25T99.F,31.9039993286133,2016
Timor-Leste,TLS,"Population, ages 15-64, male",SP.POP.1564.MA.IN,340414.0,2016
Timor-Leste,TLS,Theoretical duration of lower secondary education (years),SE.SEC.DURS.LO,3.0,2016
Tonga,TON,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5756.34460208438,2016
Trinidad and Tobago,TTO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,32918.5012575045,2016
Kiribati,KIR,"Population of the official age for secondary education, both sexes (number)",SP.SEC.TOTL.IN,13117.0,2016
Madagascar,MDG,"Population of the official age for post-secondary non-tertiary education, both sexes (number)",UIS.SAP.4,1035746.0,2016
Maldives,MDV,GDP at market prices (constant 2005 US$),NY.GDP.MKTP.KD,3600398622.67878,2016
Maldives,MDV,"Net enrolment rate, primary, male (%)",SE.PRM.NENR.MA,93.7045593261719,2016
Maldives,MDV,Percentage of students in pre-primary education who are female (%),SE.PRE.ENRL.FE.ZS,47.9584999084473,2016
Maldives,MDV,"Population of the official entrance age to primary education, male (number)",UIS.SAP.1.G1.M,3582.0,2016
Guinea-Bissau,GNB,Official entrance age to lower secondary education (years),SE.SEC.AGES,13.0,2016
Honduras,HND,"Population of the official age for lower secondary education, both sexes (number)",SP.SEC.LTOT.IN,533934.0,2016
Myanmar,MMR,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,5773458.0,2016
Myanmar,MMR,"Population of the official entrance age to primary education, both sexes (number)",UIS.SAP.1.G1,960221.0,2016
Namibia,NAM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,10400.0,2016
Namibia,NAM,"Population, ages 15-64, total",SP.POP.1564.TO,1477758.0,2016
Azerbaijan,AZE,"Elderly illiterate population, 65+ years, both sexes (number)",UIS.LP.AG65,9077.0,2016
"Bahamas, The",BHS,"Population of the official age for lower secondary education, female (number)",SP.SEC.LTOT.FE.IN,7157.0,2016
Barbados,BRB,"Population, ages 0-14, female",SP.POP.0014.FE.IN,26774.0,2016
Belarus,BLR,"Population, ages 0-14, total",SP.POP.0014.TO,1564295.0,2016
Bhutan,BTN,"Gross intake ratio to Grade 1 of primary education, both sexes (%)",SE.PRM.GINT.ZS,91.86669921875,2016
Bhutan,BTN,"Primary completion rate, both sexes (%)",SE.PRM.CMPT.ZS,99.226676940918,2016
Bhutan,BTN,Theoretical duration of secondary education (years),SE.SEC.DURS,6.0,2016
Bosnia and Herzegovina,BIH,"Labor force, total",SL.TLF.TOTL.IN,1409611.0,2016
Bosnia and Herzegovina,BIH,"Population of the official entrance age to secondary general education, female (number)",UIS.SAP.23.GPV.G1.F,15253.0,2016
Samoa,WSM,"Population of the official age for post-secondary non-tertiary education, female (number)",UIS.SAP.4.F,1911.0,2016
Samoa,WSM,Theoretical duration of post-secondary non-tertiary education (years),UIS.THDUR.4.A.GPV,1.0,2016
Sao Tome and Principe,STP,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,17626.0,2016
Sao Tome and Principe,STP,GDP at market prices (current US$),NY.GDP.MKTP.CD,342781715.52048,2016
Sao Tome and Principe,STP,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,50.2063438864684,2016
Serbia,SRB,"Elderly illiterate population, 65+ years, male (number)",UIS.LP.AG65.M,4534.0,2016
Serbia,SRB,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,51.132954447924,2016
Sierra Leone,SLE,"Population of the official entrance age to primary education, male (number)",UIS.SAP.1.G1.M,94097.0,2016
Sierra Leone,SLE,"Population, ages 0-14, male",SP.POP.0014.MA.IN,1567665.0,2016
Singapore,SGP,Official entrance age to upper secondary education (years),UIS.THAGE.3.A.GPV,14.0,2016
Sint Maarten (Dutch part),SXM,Official entrance age to post-secondary non-tertiary education (years),UIS.THAGE.4.A.GPV,16.0,2016
Somalia,SOM,"Population of the official age for pre-primary education, male (number)",SP.PRE.TOTL.MA.IN,559101.0,2016
South Africa,ZAF,"Labor force, total",SL.TLF.TOTL.IN,21660552.0,2016
South Sudan,SSD,"Population of the official age for lower secondary education, male (number)",SP.SEC.LTOT.MA.IN,311222.0,2016
South Sudan,SSD,"Population of the official age for upper secondary education, male (number)",SP.SEC.UTOT.MA.IN,582103.0,2016
Oman,OMN,"Population, male",SP.POP.TOTL.MA.IN,2893546.0,2016
Pakistan,PAK,"Population of the official entrance age to primary education, both sexes (number)",UIS.SAP.1.G1,4637237.0,2016
Palau,PLW,"Percentage of repeaters in primary education, all grades, female (%)",SE.PRM.REPT.FE.ZS,4.4407901763916,2016
Palau,PLW,Theoretical duration of secondary education (years),SE.SEC.DURS,6.0,2016
Papua New Guinea,PNG,"Population of the official age for primary education, female (number)",SP.PRM.TOTL.FE.IN,630723.0,2016
Central African Republic,CAF,Internet users (per 100 people),IT.NET.USER.P2,4.0,2016
Central African Republic,CAF,"Unemployment, female (% of female labor force)",SL.UEM.TOTL.FE.ZS,6.80000019073486,2016
Chad,TCD,Theoretical duration of primary education (years),SE.PRM.DURS,6.0,2016
Curacao,CUW,"Population of the official entrance age to primary education, both sexes (number)",UIS.SAP.1.G1,1852.0,2016
South Asia,SAS,"Population, ages 0-14, female",SP.POP.0014.FE.IN,246618921.0,2016
Upper middle income,UMC,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,16595.8133345881,2016
Afghanistan,AFG,Duration of compulsory education (years),SE.COM.DURS,9.0,2016
Afghanistan,AFG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,65142787697.0312,2016
Angola,AGO,"Population of the official age for the last grade of primary education, male (number)",SP.PRM.GRAD.MA,351751.0,2016
Angola,AGO,"Population, ages 15-64, male",SP.POP.1564.MA.IN,7090693.0,2016
Antigua and Barbuda,ATG,Official entrance age to compulsory education (years),UIS.CEAGE.1,5.0,2016
"Congo, Dem. Rep.",COD,UIS: Percentage of population age 25+ with a doctoral degree or equivalent (ISCED 8). Total,UIS.EA.8.AG25T99,0.0241700001060963,2016
Iraq,IRQ,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,19.9496984486284,2016
St. Lucia,LCA,GDP per capita (constant 2005 US$),NY.GDP.PCAP.KD,8151.63416014649,2016
Suriname,SUR,"Population, ages 15-64, male",SP.POP.1564.MA.IN,187093.0,2016
Tajikistan,TJK,"Net enrolment rate, primary, male (%)",SE.PRM.NENR.MA,97.0513229370117,2016
Tajikistan,TJK,"Population of the official age for lower secondary education, female (number)",SP.SEC.LTOT.FE.IN,408327.0,2016
Euro area,EMU,"Population, total",SP.POP.TOTL,340894606.0,2016
Europe & Central Asia,ECS,"Population, ages 0-14 (% of total)",SP.POP.0014.TO.ZS,17.7950023855142,2016
Europe & Central Asia,ECS,"Population, ages 0-14, male",SP.POP.0014.MA.IN,83106714.0,2016
Europe & Central Asia,ECS,"Population, male",SP.POP.TOTL.MA.IN,441050153.0,2016
High income,HIC,Population growth (annual %),SP.POP.GROW,0.60017093828948,2016
Low & middle income,LMY,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,65.3504753794233,2016
Tuvalu,TUV,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,37568163.5566727,2016
Uzbekistan,UZB,"Adjusted net enrolment rate, primary, both sexes (%)",SE.PRM.TENR,97.1263809204102,2016
Uzbekistan,UZB,"Gross enrolment ratio, upper secondary, female (%)",SE.SEC.ENRR.UP.FE,93.6529235839844,2016
Liberia,LBR,"Population of the official age for post-secondary non-tertiary education, female (number)",UIS.SAP.4.F,129844.0,2016
Liechtenstein,LIE,Official entrance age to primary education (years),SE.PRM.AGES,7.0,2016
Liechtenstein,LIE,Population growth (annual %),SP.POP.GROW,0.700691566528908,2016
French Polynesia,PYF,"Population, total",SP.POP.TOTL,280208.0,2016
Gabon,GAB,"Population, female",SP.POP.TOTL.FE.IN,962446.0,2016
Georgia,GEO,PIRLS: Fourth grade students reaching the high international benchmark in reading achievement (%),LO.PIRLS.REA.HI,22.0,2016
Georgia,GEO,Theoretical duration of pre-primary education (years),UIS.THDUR.0,3.0,2016
Gibraltar,GIB,Official entrance age to pre-primary education (years),UIS.THAGE.0,4.0,2016
Equatorial Guinea,GNQ,"Population of the official age for primary education, both sexes (number)",SP.PRM.TOTL.IN,121491.0,2016
Fiji,FJI,SABER: (Education Management Information Systems) Policy Goal 1 Lever 6: Data-driven Culture,SABER.EMIS.GOAL1.LVL6,1.0,2017
Vietnam,VNM,"Population of the official entrance age to secondary general education, male (number)",UIS.SAP.23.GPV.G1.M,685181.0,2016
Virgin Islands (U.S.),VIR,"Population, ages 15-64, total",SP.POP.1564.TO,63541.0,2016
Zimbabwe,ZWE,"Population of the official entrance age to secondary general education, both sexes (number)",UIS.SAP.23.GPV.G1,362561.0,2016
Thailand,THA,UIS: Percentage of population age 25+ with at least completed lower secondary education (ISCED 2 or higher). Total,UIS.EA.2T6.AG25T99,45.0704803466797,2016
Togo,TGO,"Population, ages 0-14, total",SP.POP.0014.TO,3181394.0,2016
Tonga,TON,"Population of the official entrance age to primary education, female (number)",UIS.SAP.1.G1.F,1287.0,2016
Jamaica,JAM,"Population, female",SP.POP.TOTL.FE.IN,1447539.0,2016
Jamaica,JAM,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,13.1999998092651,2016
Kenya,KEN,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,4.0,2016
Kiribati,KIR,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3.0,2016
"Macedonia, FYR",MKD,"Unemployment, male (% of male labor force)",SL.UEM.TOTL.MA.ZS,24.0,2016
Madagascar,MDG,"Population, ages 0-14, male",SP.POP.0014.MA.IN,5182344.0,2016
Maldives,MDV,"Lower secondary completion rate, male (%)",SE.SEC.CMPT.LO.MA.ZS,96.2406005859375,2016
Maldives,MDV,Official entrance age to pre-primary education (years),UIS.THAGE.0,3.0,2016
Maldives,MDV,Official entrance age to primary education (years),SE.PRM.AGES,6.0,2016
Honduras,HND,"Population of compulsory school age, male (number)",UIS.SAP.CE.M,796358.0,2016
Honduras,HND,"Youth literacy rate, population 15-24 years, gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1.02423,2016
Namibia,NAM,"Population, ages 15-64, male",SP.POP.1564.MA.IN,711962.0,2016
Nauru,NRU,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,2.0,2016
Azerbaijan,AZE,PIRLS: Distribution of Reading Scores: 5th Percentile Score,LO.PIRLS.REA.P05,312.0,2016
"Bahamas, The",BHS,Population growth (annual %),SP.POP.GROW,1.12947336670266,2016
Barbados,BRB,"Population of the official age for the last grade of primary education, female (number)",SP.PRM.GRAD.FE,1850.0,2016
Barbados,BRB,"Population of the official age for upper secondary education, both sexes (number)",SP.SEC.UTOT.IN,7519.0,2016
Belarus,BLR,Official entrance age to upper secondary education (years),UIS.THAGE.3.A.GPV,15.0,2016
Belarus,BLR,"Population of the official age for the last grade of primary education, female (number)",SP.PRM.GRAD.FE,45623.0,2016
Bhutan,BTN,"Population, ages 0-14, male",SP.POP.0014.MA.IN,109156.0,2016
Botswana,BWA,"Unemployment, total (% of total labor force)",SL.UEM.TOTL.ZS,17.7000007629395,2016
Brunei Darussalam,BRN,"Population of the official age for pre-primary education, female (number)",SP.PRE.TOTL.FE.IN,9320.0,2016
Brunei Darussalam,BRN,"Population of the official age for upper secondary education, both sexes (number)",SP.SEC.UTOT.IN,35211.0,2016
Samoa,WSM,"Population, total",SP.POP.TOTL,195125.0,2016
Sao Tome and Principe,STP,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,9227.0,2016
Serbia,SRB,Official entrance age to primary education (years),SE.PRM.AGES,7.0,2016
Seychelles,SYC,"Population of the official age for post-secondary non-tertiary education, female (number)",UIS.SAP.4.F,1262.0,2016
Sierra Leone,SLE,GDP at market prices (current US$),NY.GDP.MKTP.CD,3736588553.56394,2016
South Africa,ZAF,PIRLS: Distribution of Reading Scores: 95th Percentile Score,LO.PIRLS.REA.P95,498.0,2016
South Africa,ZAF,PIRLS: Fourth grade students reaching the intermediate international benchmark in reading achievement (%),LO.PIRLS.REA.INT,8.0,2016
South Sudan,SSD,All staff compensation as % of total expenditure in public institutions (%),UIS.XSPENDP.FDPUB.FNS,93.4667892456055,2016
South Sudan,SSD,"Population of the official age for the last grade of primary education, both sexes (number)",SP.PRM.GRAD.TO,319640.0,2016
South Sudan,SSD,"Population of the official age for upper secondary education, both sexes (number)",SP.SEC.UTOT.IN,1153195.0,2016
Sri Lanka,LKA,All staff compensation as % of total expenditure in secondary public institutions (%),UIS.XSPENDP.23.FDPUB.FNS,42.9177207946777,2016
Pakistan,PAK,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1013476254926.39,2016
Pakistan,PAK,"Population of the official age for post-secondary non-tertiary education, female (number)",UIS.SAP.4.F,5609677.0,2016
Palau,PLW,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,325111832.991097,2016
Palau,PLW,"Out-of-school children of primary school age, female (number)",SE.PRM.UNER.FE,88.0,2016
Palau,PLW,"Percentage of female teachers in secondary education who are trained, female (%)",SE.SEC.TCAQ.FE.ZS,95.1219482421875,2016
Cabo Verde,CPV,"Population, ages 15-64 (% of total)",SP.POP.1564.TO.ZS,64.9026984950701,2016
Central African Republic,CAF,"Population, ages 0-14, total",SP.POP.0014.TO,1998737.0,2016
Central African Republic,CAF,Theoretical duration of pre-primary education (years),UIS.THDUR.0,3.0,2016
Chad,TCD,"Youth illiterate population, 15-24 years, % female",UIS.LPP.AG15T24,56.441,2016
Djibouti,DJI,Internet users (per 100 people),IT.NET.USER.P2,13.13491511,2016
Djibouti,DJI,"Population of the official age for pre-primary education, male (number)",SP.PRE.TOTL.MA.IN,19935.0,2016
Djibouti,DJI,"Population of the official age for the last grade of primary education, male (number)",SP.PRM.GRAD.MA,9503.0,2016
Dominica,DMA,GDP at market prices (constant 2005 US$),NY.GDP.MKTP.KD,506021854.071474,2016
Angola,AGO,"Population of the official age for lower secondary education, female (number)",SP.SEC.LTOT.FE.IN,975392.0,2016
Antigua and Barbuda,ATG,"Population of the official age for lower secondary education, both sexes (number)",SP.SEC.LTOT.IN,4619.0,2016
Armenia,ARM,"Population of the official age for primary education, both sexes (number)",SP.PRM.TOTL.IN,148324.0,2016
Puerto Rico,PRI,"Population of compulsory school age, male (number)",UIS.SAP.CE.M,332806.0,2016
Comoros,COM,Duration of compulsory education (years),SE.COM.DURS,6.0,2016
Comoros,COM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1223669161.34257,2016
"Congo, Dem. Rep.",COD,"Adult illiterate population, 15+ years, female (number)",UIS.LP.AG15T99.F,7310049.0,2016
St. Lucia,LCA,"Population, male",SP.POP.TOTL.MA.IN,87173.0,2016
St. Vincent and the Grenadines,VCT,Official entrance age to lower secondary education (years),SE.SEC.AGES,12.0,2016
St. Vincent and the Grenadines,VCT,"Population, ages 0-14 (% of total)",SP.POP.0014.TO.ZS,24.1137145098182,2016
Suriname,SUR,Theoretical duration of upper secondary education (years),SE.SEC.DURS.UP,3.0,2016
Tajikistan,TJK,"Labor force, total",SL.TLF.TOTL.IN,3351931.0,2016
Tajikistan,TJK,"Net enrolment rate, primary, female (%)",SE.PRM.NENR.FE,98.4628982543945,2016
Tajikistan,TJK,"Net intake rate to Grade 1 of primary education, male (%)",SE.PRM.NINT.MA.ZS,92.5656280517578,2016
